Temp,Pliq,p_vap (MPa),vf (m3/kg),vg (m3/kg),hf,hg (kJ/kg),sf (kJ/kg-K),sg (kJ/kg-K),cpf (kJ/kg-K),cpg (kJ/kg-K),muf (Pa-s),mug (Pa-s)
-23,0.35735,0.35613,0.00079637,0.072472,166.13,412.83,0.87191,1.8583,1.4294,0.96362,0.00021467,0.000011185
-22,0.37137,0.3701,0.0007986,0.069825,167.56,413.25,0.87759,1.856,1.4324,0.97004,0.00021198,0.000011231
-21,0.3858,0.38448,0.00080086,0.067293,169,413.67,0.88325,1.8538,1.4354,0.97655,0.00020933,0.000011276
-20,0.40066,0.3993,0.00080313,0.06487,170.44,414.08,0.8889,1.8516,1.4385,0.98313,0.00020673,0.000011322
-19,0.41595,0.41454,0.00080544,0.062551,171.88,414.49,0.89455,1.8493,1.4417,0.98978,0.00020416,0.000011367
-18,0.43169,0.43023,0.00080776,0.06033,173.33,414.9,0.90018,1.8471,1.4449,0.99653,0.00020163,0.000011413
-17,0.44788,0.44637,0.00081011,0.058203,174.78,415.3,0.9058,1.845,1.4483,1.0034,0.00019913,0.000011458
-16,0.46453,0.46296,0.00081249,0.056165,176.23,415.7,0.9114,1.8428,1.4517,1.0103,0.00019667,0.000011504
-15,0.48165,0.48002,0.0008149,0.054212,177.69,416.09,0.917,1.8407,1.4552,1.0173,0.00019424,0.000011549
-14,0.49924,0.49756,0.00081733,0.052338,179.15,416.47,0.92259,1.8386,1.4587,1.0244,0.00019185,0.000011595
-13,0.51733,0.51559,0.00081979,0.050542,180.61,416.86,0.92817,1.8365,1.4624,1.0316,0.00018949,0.00001164
-12,0.5359,0.53411,0.00082228,0.048818,182.08,417.23,0.93374,1.8344,1.4662,1.0389,0.00018716,0.000011686
-11,0.55498,0.55312,0.0008248,0.047163,183.55,417.6,0.9393,1.8323,1.47,1.0462,0.00018487,0.000011731
-10,0.57458,0.57265,0.00082735,0.045574,185.02,417.97,0.94486,1.8303,1.474,1.0537,0.0001826,0.000011776
-9,0.59469,0.5927,0.00082993,0.044048,186.5,418.33,0.9504,1.8282,1.478,1.0614,0.00018037,0.000011822
-8,0.61534,0.61328,0.00083255,0.042582,187.99,418.68,0.95594,1.8262,1.4822,1.0691,0.00017816,0.000011867
-7,0.63652,0.6344,0.00083519,0.041173,189.47,419.03,0.96147,1.8242,1.4864,1.0769,0.00017599,0.000011912
-6,0.65826,0.65606,0.00083787,0.039819,190.96,419.37,0.96699,1.8222,1.4908,1.0849,0.00017384,0.000011958
-5,0.68055,0.67828,0.00084059,0.038517,192.46,419.71,0.97251,1.8202,1.4952,1.093,0.00017171,0.000012003
-4,0.70341,0.70107,0.00084334,0.037264,193.96,420.04,0.97802,1.8182,1.4998,1.1012,0.00016962,0.000012048
-3,0.72684,0.72443,0.00084613,0.036058,195.46,420.37,0.98352,1.8162,1.5045,1.1095,0.00016755,0.000012093
-2,0.75086,0.74837,0.00084895,0.034898,196.97,420.69,0.98902,1.8143,1.5094,1.118,0.00016551,0.000012139
-1,0.77548,0.77291,0.00085181,0.033781,198.48,421,0.99451,1.8123,1.5143,1.1267,0.00016349,0.000012184
0,0.8007,0.79805,0.00085472,0.032705,200,421.31,1,1.8104,1.5194,1.1355,0.00016149,0.00001223
1,0.82654,0.82381,0.00085766,0.031669,201.52,421.6,1.0055,1.8084,1.5247,1.1445,0.00015952,0.000012277
2,0.853,0.85019,0.00086065,0.03067,203.05,421.9,1.011,1.8065,1.53,1.1536,0.00015757,0.000012325
3,0.8801,0.8772,0.00086368,0.029707,204.58,422.18,1.0164,1.8046,1.5355,1.1629,0.00015565,0.000012372
